name;code;type;towards;latitude;longitude;stoppointindicator;favorite;rank
Acton Town;ACT;2;;51.5027497730006;-0.280251203536110600;;0;
Aldgate;ALD;2;;51.5142718230834;-0.075614184477749600;;0;
Aldgate East;ALE;2;;51.5152334137965;-0.072287119975365420;;0;
Alperton;ALP;2;;51.5406947662935;-0.299486538678611470;;0;
Amersham;AME;2;;51.6741497106297;-0.607478839102469000;;0;
Angel;ANG;2;;51.5324988689043;-0.105789913665305300;;0;
Archway;ARC;2;;51.5654267545338;-0.135113518210335370;;0;
Arnos Grove;AGR;2;;51.6163402610568;-0.133516309581780070;;0;
Arsenal;ARL;2;;51.5584987687767;-0.105761988175557870;;0;
Baker Street;BST;2;;51.5230612481428;-0.156900356057780880;;0;
Balham;BAL;2;;51.4433289796352;-0.153207552666472820;;0;
Bank;BNK;2;;51.5133023715193;-0.088915809045260000;;0;
Barbican;BAR;2;;51.5201457253249;-0.097711123216248310;;0;
Barking;BKG;2;;51.5394512085157;0.080863182849410430;;0;
Barkingside;BDE;2;;51.5857859603905;0.088511013821779280;;0;
Barons Court;BCT;2;;51.4901599427089;-0.213606857361082370;;0;
Bayswater;;2;;51.5122330587411;-0.188038262221618460;;0;
Becontree;BEC;2;;51.5402885352047;0.127400321155280580;;0;
Belsize Park;BPK;2;;51.5504266277182;-0.164232306333818050;;0;
Bermondsey;BER;2;;51.4979491195816;-0.063651350918079250;;0;
Bethnal Green;BNG;2;;51.5271952360696;-0.055431117145884300;;0;
Blackfriars;BLF;2;;51.5114905222475;-0.103606731219862620;;0;
Blackhorse Road;BHR;2;;51.5869511954389;-0.040996340920370744;;0;
Bond Street;BDS;2;;51.5138045353881;-0.149332354586202300;;0;
Borough;BOR;2;;51.5011939989285;-0.093702664758373440;;0;
Boston Manor;BOS;2;;51.4956963821882;-0.324763573796374050;;0;
Bounds Green;BGR;2;;51.6070905569528;-0.124218963208536690;;0;
Bow Road;BWR;2;;51.5268002548261;-0.024823746874528683;;0;
Brent Cross;BTX;2;;51.5768004714439;-0.213455833755365300;;0;
Brixton;BRX;2;;51.4625813336317;-0.114635581578615600;;0;
Bromley-By-Bow;BBB;2;;51.5247699375573;-0.011661937058285864;;0;
Buckhurst Hill;BHL;2;;51.6265173304094;0.046743856240495990;;0;
Burnt Oak;BUR;2;;51.6026810997026;-0.264198758145630100;;0;
Caledonian Road;CRD;2;;51.5484213184038;-0.118312333133271940;;0;
Camden Town;CTN;2;;51.5394035226311;-0.142726148730286300;;0;
Canada Water;CWR;2;;51.4978886819951;-0.049705986794378270;;0;
Canary Wharf;CWF;2;;51.5035504856476;-0.019431816253263262;;0;
Canning Town;CNT;2;;51.5138371292896;0.008171036532588041;;0;
Cannon Street;CST;2;;51.5114337223373;-0.090694850680980680;;0;
Canons Park;CPK;2;;51.6077595152153;-0.294653740878426550;;0;
Chalfont & Latimer;CLF;2;;51.6680254739261;-0.560534956448776200;;0;
Chalk Farm;CHF;2;;51.5440831024226;-0.153728009451251480;;0;
Chancery Lane;CYL;2;;51.5181232306144;-0.111677427383970640;;0;
Charing Cross;CHX;2;;51.5085932076032;-0.124754686624366030;;0;
Chesham;;2;;51.7050304548296;-0.611219246324909900;;0;
Chigwell;CHG;2;;51.6178719254051;0.074526611263722940;;0;
Chiswick Park;CHP;2;;51.4943005917451;-0.267746873913726140;;0;
Chorleywood;CWD;2;;51.6542178607745;-0.518365989763054100;;0;
Clapham Common;CPC;2;;51.4617279332839;-0.138311459464252400;;0;
Clapham North;CPN;2;;51.4648437320278;-0.129531053727598040;;0;
Clapham South;CPS;2;;51.4525998347145;-0.147982098639174410;;0;
Cockfosters;CFS;2;;51.651687534575;-0.149614715155877680;;0;
Colindale;COL;2;;51.5952865187992;-0.250142587760251700;;0;
Colliers Wood;CLW;2;;51.4180718851226;-0.177700936628786360;;0;
Covent Garden;COV;2;;51.5129095861416;-0.124159260603112690;;0;
Croxley;CRX;2;;51.6470463381164;-0.441710992609101700;;0;
Dagenham East;DGE;2;;51.5441167342236;0.165874869677022780;;0;
Dagenham Heathway;DGH;2;;51.5416274136162;0.147684194913217710;;0;
Debden;DEB;2;;51.645434322049;0.083837809879712370;;0;
Dollis Hill;DHL;2;;51.5519035590561;-0.238797558508156870;;0;
Ealing Broadway;EBY;2;;51.5149130337392;-0.301500096369187100;;0;
Ealing Common;ECM;2;;51.5101247385378;-0.288260381056999100;;0;
Earl's Court;ECT;2;;51.4918039078989;-0.193545854058733800;;0;
East Acton;EAC;2;;51.5165821990542;-0.247513203550207700;;0;
East Finchley;EFY;2;;51.587271719132;-0.164738305623223720;;0;
East Ham;EHM;2;;51.5389260365476;0.051475548835470040;;0;
East Putney;EPY;2;;51.45880474635;-0.211003174222271470;;0;
Eastcote;ETE;2;;51.5764930445017;-0.396844627186990200;;0;
Edgware;EDG;2;;51.6136230798495;-0.274976006045290200;;0;
Edgware Road Bakerloo;ERB;2;;51.520183893832;-0.170135073011915440;;0;
Edgware Road Circle;ERD;2;;51.5199204743673;-0.167666130737583900;;0;
Elephant & Castle;ELE;2;;51.4957770472707;-0.100729603883341970;;0;
Elm Park;EPK;2;;51.5498012539869;0.199180459239238080;;0;
Embankment;EMB;2;;51.5072417967484;-0.122360215814178660;;0;
Epping;EPP;2;;51.6936246075655;0.113866915583570900;;0;
Euston;EUS;2;;51.5285962608995;-0.133289718799315530;;0;
Euston Square;ESQ;2;;51.5255610060161;-0.135836140694320340;;0;
Fairlop;FLP;2;;51.595680931861;0.090929226191151620;;0;
Farringdon;FAR;2;;51.5204447549308;-0.105065254236880330;;0;
Finchley Central;FYC;2;;51.6009764207853;-0.192447107072110800;;0;
Finchley Road;FRD;2;;51.5470648343368;-0.180494175915812260;;0;
Finsbury Park;FPK;2;;51.5644016484846;-0.106512100282158470;;0;
Fulham Broadway;FBY;2;;51.4805297842982;-0.194956844603215860;;0;
Gants Hill;GHL;2;;51.5764875480316;0.066115533982912160;;0;
Gloucester Road;GRD;2;;51.4942397839165;-0.182989526482896930;;0;
Golders Green;GGR;2;;51.5722213932328;-0.193993261252232000;;0;
Goldhawk Road;;2;;51.5019521973013;-0.226748329203583370;;0;
Goodge Street;GST;2;;51.5204249960455;-0.134662152092394320;;0;
Grange Hill;GRH;2;;51.6133498578015;0.092146407242701880;;0;
Great Portland Street;GPS;2;;51.5237203146289;-0.143956086447368930;;0;
